carnet,nombre,password,curso 1,curso 2,curso 3,
200715321,Dale Jim Melendez Herrera,sol,771,772,773
201020692,Adolfo Enrique Noriega Godinez,al12,881,882,993
201325511,Jose Estuardo Melendez De La Cruz,estuardo2,882,884,588
201403885,Kevin Ricardo Pinto Montenegro,kevin1123,663,772,773
201602947,Erick Estuardo Muñoz Escalante,erick2024,774,781,789
202100123,Ana Gabriela Ramírez López,gabriela123,661,662,663
202210456,Mario Alejandro Pérez García,mario789,774,775,776
202315789,Verónica Estefanía Torres Mendoza,veronica22,881,882,883
202420000,Juan Carlos Gutiérrez Rodríguez,juan1234,990,991,992
201700932,Gabriel Orlando Chinchilla Vasquez,fernanda567,663,664,665
201720111,Alejandro David González Pérez,alejandro2017,771,772,773
201835678,Sofía Isabella Martínez Ramírez,sofia5678,884,885,886
201947890,Ricardo Andrés Hernández Sánchez,ricardo123,663,664,665
202052345,Ana Victoria Flores Gómez,ana2020,776,777,778
202165432,Carlos Eduardo Vargas Martínez,carlos789,889,890,891

